date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
09-02-2020 14.34,shannonsidenews,,0,4,4,Standout figures overall in #SligoLeitrim so far. #GE20 #GE2020 Martin Kenny SF: 23% Marc MacSharry FF: 12% Eamon Scanlon FF: 11% Marian Harkin: 11% Frank Feighan FG: 9% Thomas Walsh FG: 8% Declan Bree IND: 4%,,,#SligoLeitrim #GE20 #GE2020,1226514810340280000.00,https://twitter.com/shannonsidenews/status/1226514810340282368
09-02-2020 14.30,shannonsidenews,,0,1,1,"With #Leitrim's tallies coming in, here is the state of play in #SligoLeitrim #GE20 #GE2020 ",,,#Leitrim #SligoLeitrim #GE20 #GE2020,1226513734790710000.00,https://twitter.com/shannonsidenews/status/1226513734790713346
09-02-2020 14.30,mairtinmcgauley,,0,0,1,91% there in Wicklow. @NewstalkFM #GE20 #GE2020 #GeneralElection2020,,#NAME?,#GE20 #GE2020 #GeneralElection2020,1226513723516440000.00,https://twitter.com/mairtinmcgauley/status/1226513723516444678
09-02-2020 14.30,mnutty,KeithMillsD7,0,0,1,Clickable hashtags for those who want to follow their constituency through Twitter #IrelandElection #Ireland #GE20 #GE2020 #IrishGeneralElection #irishdiaspora #globalireland #dublinfingal .@StiofanNutty #Irish #politics #Elections2020,,#NAME?,#IrelandElection #Ireland #GE20 #GE2020 #IrishGeneralElection #irishdiaspora #globalireland #dublinfingal #Irish #politics #Elections2020,1226513683746080000.00,https://twitter.com/mnutty/status/1226513683746082818
09-02-2020 14.22,uns0ciable1,,0,0,0,Simon Harris appears to share eyebrows with Carlo Ancelotti #GE20 #GE2020 @VirginMediaNews,,#NAME?,#GE20 #GE2020,1226511614632950000.00,https://twitter.com/uns0ciable1/status/1226511614632955904
09-02-2020 14.21,shannonsidenews,,0,1,0,Shane Ellis has just turned up at the count. He’s currently polling at 1%. #SligoLeitrim #GE20 #GE2020 ,,,#SligoLeitrim #GE20 #GE2020,1226511430851200000.00,https://twitter.com/shannonsidenews/status/1226511430851203078
09-02-2020 14.21,Tcurran0,,0,0,0,. @SuperValuIRL offering a subliminal opinion on the manifestos for #GE20 #GE2020 or perhaps the next Program For Government..... ,,#NAME?,#GE20 #GE2020,1226511413700710000.00,https://twitter.com/Tcurran0/status/1226511413700710402
09-02-2020 14.21,SouthernStarIRL,,0,0,12,SF candidate in Cork South West Paul Hayes is confident he's still in with a shout for the last seat here...#CSW #corksouthwest #GE2020 #SSGE20 #GE20 #westcork,,,#CSW #corksouthwest #GE2020 #SSGE20 #GE20 #westcork,1226511318410300000.00,https://twitter.com/SouthernStarIRL/status/1226511318410301440
09-02-2020 14.19,LaobhaoiseNihE,LaobhaoiseNihE,1,0,2,I may not agree with Fine Gaels policies but I voted in terms of what the candidate has done & will do for #Mayo but especially #NorthMayo. Hence why we need @MulherinFG to get a seat. #GE2020 #GE20 #Elections2020,,#NAME?,#Mayo #NorthMayo #GE2020 #GE20 #Elections2020,1226510903056690000.00,https://twitter.com/LaobhaoiseNihE/status/1226510903056699392
09-02-2020 14.15,janafoxe,,0,0,6,Watching the Dublin Bay South count like #dubbs #GE20 #GE2020 ,,,#dubbs #GE20 #GE2020,1226510037167850000.00,https://twitter.com/janafoxe/status/1226510037167853570
09-02-2020 14.15,yvonnectobin,,2,2,25,A bit foolish of any party to rule out doing business with Sinn Fein. Irish people want change and by dismissing talks aren’t the other parties really saying to the SF voters... “We really don’t care what you think” #GE2020 #GE20,,,#GE2020 #GE20,1226509961880110000.00,https://twitter.com/yvonnectobin/status/1226509961880113152
09-02-2020 14.15,DaranDeRoiste,Tupp_Ed,0,0,0,"FG so out of touch with voters. Live in a bubble , created by themselves and FF #GE2020 #GE20 ",,,#GE2020 #GE20,1226509950681330000.00,https://twitter.com/DaranDeRoiste/status/1226509950681337856
