date,username,to,replies,retweets,text,mentions,hashtags,permalink
18-02-2020 12.46,jkamn,edel_leahy,0,0, Terrible decision ,,,https://twitter.com/jkamn/status/1229748908911448065
18-02-2020 12.09,edel_leahy,donna_cooney1,1,0, @RichardbrutonTD people see through what’s happening here , @RichardbrutonTD,,https://twitter.com/edel_leahy/status/1229739776556793857
18-02-2020 11.57,Nc1908Neil,hertsgaard_mark,0,1, Perhaps you should take note: @greenparty_ie @RichardbrutonTD @davidcullinane @ClareDalyMEP @wallacemick , @greenparty_ie  @RichardbrutonTD  @davidcullinane  @ClareDalyMEP  @wallacemick,,https://twitter.com/Nc1908Neil/status/1229736759178690563
18-02-2020 11.57,edel_leahy,CarolynLeahy1,0,0, Am so shocked Carolyn. Hard to fathom. ,,,https://twitter.com/edel_leahy/status/1229736727180382210
18-02-2020 11.56,CarolynLeahy1,edel_leahy,1,0, It's s appalling ,,,https://twitter.com/CarolynLeahy1/status/1229736477308936193
18-02-2020 11.52,edel_leahy,sarsfieldbhoys,0,0, Shame on them! ,,,https://twitter.com/edel_leahy/status/1229735381937065984
18-02-2020 11.50,sarsfieldbhoys,edel_leahy,1,0," Doesn’t matter now Edel, will only become a concern of politicians in the event of another election, otherwise it’s more hollow words ",,,https://twitter.com/sarsfieldbhoys/status/1229734836316798977
18-02-2020 11.43,akatkelly,edel_leahy,0,0, We’ve #nowheretoplay The lungs of the Northside are disappearing! ,,#nowheretoplay,https://twitter.com/akatkelly/status/1229733182746091520
18-02-2020 11.40,loc8code,loc8code,0,0, Why is that @RichardbrutonTD @1Hildegarde you were made aware of the issues with Eircode but you both have chosen to turn a blind eye even though at some point the evidence could point to your negligence if a life is put at risk? , @RichardbrutonTD  @1Hildegarde,,https://twitter.com/loc8code/status/1229732483362705408
18-02-2020 11.28,tenmendead,edel_leahy,0,0, I too would love to hear your response Richard??? ,,,https://twitter.com/tenmendead/status/1229729433151471617
18-02-2020 11.26,edel_leahy,,9,10," Sad day for the beautiful St Anne’s Park in your constituency @RichardbrutonTD. Any comment from you at this stage, as Minister for the Environment? Or does it matter now that you’ve been re-elected? 🌳 ", @RichardbrutonTD,,https://twitter.com/edel_leahy/status/1229728871978762241
18-02-2020 9.08,PaulMcauliffe,peterjfinnegan,0,0, Best of Luck ,,,https://twitter.com/PaulMcauliffe/status/1229694188679258112
18-02-2020 8.40,loc8code,lyncbrinMT,0,0, Not so - it has many flaws which those behind it know abou but do not tell people about - including @RichardbrutonTD & @1Hildegarde , @RichardbrutonTD  @1Hildegarde,,https://twitter.com/loc8code/status/1229687102436192256
17-02-2020 23.51,thombo1987,,2,0," Can this cold weather go to where the polar bears are? 🥶❄We don't need it, they do? Make this happen @RichardbrutonTD 👍🏻 ", @RichardbrutonTD,,https://twitter.com/thombo1987/status/1229554112586448896
17-02-2020 22.41,TinaMacVeigh,peterjfinnegan,0,0, I thought that might have been you when I saw the name on the candidates list earlier! ,,,https://twitter.com/TinaMacVeigh/status/1229536480831340547
17-02-2020 19.56,StuartMMeikle,SeanCoughlan_,0,0," Certainly not, but it is on grassland farms were its use will decline fastest. Down the line ruminant farming will end up with those who can do so without dependence on artificial N, P & K. All have finite availability and/or too greater total cost when externalities are included ",,,https://twitter.com/StuartMMeikle/status/1229494963857231872
